topology,point_idx,load,cdf_percent,num_edges,num_zeros,first_positive_load,global_x_start
Fat Tree,0,11782553.6,0.0,9252,6144,117825536.0,11782553.6
Fat Tree,1,117825536.0,0.0,9252,6144,117825536.0,11782553.6
Fat Tree,2,117825536.0,66.41807176826632,9252,6144,117825536.0,11782553.6
Fat Tree,3,117825536.0,66.42888024210981,9252,6144,117825536.0,11782553.6
Fat Tree,4,117825536.0,66.43968871595331,9252,6144,117825536.0,11782553.6
Fat Tree,5,117825536.0,66.45049718979679,9252,6144,117825536.0,11782553.6
Fat Tree,6,117825536.0,66.46130566364029,9252,6144,117825536.0,11782553.6
Fat Tree,7,117825536.0,66.47211413748379,9252,6144,117825536.0,11782553.6
Fat Tree,8,117825536.0,66.48292261132728,9252,6144,117825536.0,11782553.6
Fat Tree,9,117825536.0,66.49373108517077,9252,6144,117825536.0,11782553.6
Fat Tree,10,117825536.0,66.50453955901426,9252,6144,117825536.0,11782553.6
Fat Tree,11,117825536.0,66.51534803285776,9252,6144,117825536.0,11782553.6
Fat Tree,12,117825536.0,66.52615650670126,9252,6144,117825536.0,11782553.6
Fat Tree,13,117825536.0,66.53696498054474,9252,6144,117825536.0,11782553.6
Fat Tree,14,117825536.0,66.54777345438823,9252,6144,117825536.0,11782553.6
Fat Tree,15,117825536.0,66.55858192823173,9252,6144,117825536.0,11782553.6
Fat Tree,16,117825536.0,66.56939040207523,9252,6144,117825536.0,11782553.6
Fat Tree,17,117825536.0,66.58019887591871,9252,6144,117825536.0,11782553.6
Fat Tree,18,117825536.0,66.59100734976221,9252,6144,117825536.0,11782553.6
Fat Tree,19,117825536.0,66.6018158236057,9252,6144,117825536.0,11782553.6
Fat Tree,20,117825536.0,66.6126242974492,9252,6144,117825536.0,11782553.6
Fat Tree,21,117825536.0,66.62343277129268,9252,6144,117825536.0,11782553.6
Fat Tree,22,117825536.0,66.63424124513618,9252,6144,117825536.0,11782553.6
Fat Tree,23,117825536.0,66.64504971897968,9252,6144,117825536.0,11782553.6
Fat Tree,24,117825536.0,66.65585819282317,9252,6144,117825536.0,11782553.6
Fat Tree,25,117825536.0,66.66666666666666,9252,6144,117825536.0,11782553.6
Fat Tree,26,117825536.0,66.67747514051015,9252,6144,117825536.0,11782553.6
Fat Tree,27,117825536.0,66.68828361435365,9252,6144,117825536.0,11782553.6
Fat Tree,28,117825536.0,66.69909208819715,9252,6144,117825536.0,11782553.6
Fat Tree,29,117825536.0,66.70990056204063,9252,6144,117825536.0,11782553.6
Fat Tree,30,117825536.0,66.72070903588413,9252,6144,117825536.0,11782553.6
Fat Tree,31,117825536.0,66.73151750972762,9252,6144,117825536.0,11782553.6
Fat Tree,32,117825536.0,66.74232598357112,9252,6144,117825536.0,11782553.6
Fat Tree,33,117825536.0,66.7531344574146,9252,6144,117825536.0,11782553.6
Fat Tree,34,117825536.0,66.7639429312581,9252,6144,117825536.0,11782553.6
Fat Tree,35,117825536.0,66.7747514051016,9252,6144,117825536.0,11782553.6
Fat Tree,36,117825536.0,66.7855598789451,9252,6144,117825536.0,11782553.6
Fat Tree,37,117825536.0,66.79636835278858,9252,6144,117825536.0,11782553.6
Fat Tree,38,117825536.0,66.80717682663207,9252,6144,117825536.0,11782553.6
Fat Tree,39,117825536.0,66.81798530047557,9252,6144,117825536.0,11782553.6
Fat Tree,40,117825536.0,66.82879377431907,9252,6144,117825536.0,11782553.6
Fat Tree,41,117825536.0,66.83960224816255,9252,6144,117825536.0,11782553.6
Fat Tree,42,117825536.0,66.85041072200605,9252,6144,117825536.0,11782553.6
Fat Tree,43,117825536.0,66.86121919584954,9252,6144,117825536.0,11782553.6
Fat Tree,44,117825536.0,66.87202766969304,9252,6144,117825536.0,11782553.6
Fat Tree,45,117825536.0,66.88283614353652,9252,6144,117825536.0,11782553.6
Fat Tree,46,117825536.0,66.89364461738002,9252,6144,117825536.0,11782553.6
Fat Tree,47,117825536.0,66.90445309122352,9252,6144,117825536.0,11782553.6
Fat Tree,48,117825536.0,66.91526156506701,9252,6144,117825536.0,11782553.6
Fat Tree,49,117825536.0,66.9260700389105,9252,6144,117825536.0,11782553.6
Fat Tree,50,117825536.0,66.93687851275399,9252,6144,117825536.0,11782553.6
Fat Tree,51,117825536.0,66.94768698659749,9252,6144,117825536.0,11782553.6
Fat Tree,52,117825536.0,66.95849546044099,9252,6144,117825536.0,11782553.6
Fat Tree,53,117825536.0,66.96930393428447,9252,6144,117825536.0,11782553.6
Fat Tree,54,117825536.0,66.98011240812797,9252,6144,117825536.0,11782553.6
Fat Tree,55,117825536.0,66.99092088197146,9252,6144,117825536.0,11782553.6
Fat Tree,56,117825536.0,67.00172935581496,9252,6144,117825536.0,11782553.6
Fat Tree,57,117825536.0,67.01253782965844,9252,6144,117825536.0,11782553.6
Fat Tree,58,117825536.0,67.02334630350194,9252,6144,117825536.0,11782553.6
Fat Tree,59,117825536.0,67.03415477734544,9252,6144,117825536.0,11782553.6
Fat Tree,60,117825536.0,67.04496325118893,9252,6144,117825536.0,11782553.6
Fat Tree,61,117825536.0,67.05577172503241,9252,6144,117825536.0,11782553.6
Fat Tree,62,117825536.0,67.06658019887591,9252,6144,117825536.0,11782553.6
Fat Tree,63,117825536.0,67.07738867271941,9252,6144,117825536.0,11782553.6
Fat Tree,64,117825536.0,67.0881971465629,9252,6144,117825536.0,11782553.6
Fat Tree,65,117825536.0,67.09900562040639,9252,6144,117825536.0,11782553.6
Fat Tree,66,117825536.0,67.10981409424988,9252,6144,117825536.0,11782553.6
Fat Tree,67,117825536.0,67.12062256809338,9252,6144,117825536.0,11782553.6
Fat Tree,68,117825536.0,67.13143104193688,9252,6144,117825536.0,11782553.6
Fat Tree,69,117825536.0,67.14223951578036,9252,6144,117825536.0,11782553.6
Fat Tree,70,117825536.0,67.15304798962386,9252,6144,117825536.0,11782553.6
Fat Tree,71,117825536.0,67.16385646346735,9252,6144,117825536.0,11782553.6
Fat Tree,72,117825536.0,67.17466493731085,9252,6144,117825536.0,11782553.6
Fat Tree,73,117825536.0,67.18547341115433,9252,6144,117825536.0,11782553.6
Fat Tree,74,117825536.0,67.19628188499784,9252,6144,117825536.0,11782553.6
Fat Tree,75,117825536.0,67.20709035884134,9252,6144,117825536.0,11782553.6
Fat Tree,76,117825536.0,67.21789883268482,9252,6144,117825536.0,11782553.6
Fat Tree,77,117825536.0,67.22870730652832,9252,6144,117825536.0,11782553.6
Fat Tree,78,117825536.0,67.23951578037182,9252,6144,117825536.0,11782553.6
Fat Tree,79,117825536.0,67.25032425421531,9252,6144,117825536.0,11782553.6
Fat Tree,80,117825536.0,67.2611327280588,9252,6144,117825536.0,11782553.6
Fat Tree,81,117825536.0,67.2719412019023,9252,6144,117825536.0,11782553.6
Fat Tree,82,117825536.0,67.28274967574579,9252,6144,117825536.0,11782553.6
Fat Tree,83,117825536.0,67.29355814958929,9252,6144,117825536.0,11782553.6
Fat Tree,84,117825536.0,67.30436662343277,9252,6144,117825536.0,11782553.6
Fat Tree,85,117825536.0,67.31517509727627,9252,6144,117825536.0,11782553.6
Fat Tree,86,117825536.0,67.32598357111976,9252,6144,117825536.0,11782553.6
Fat Tree,87,117825536.0,67.33679204496326,9252,6144,117825536.0,11782553.6
Fat Tree,88,117825536.0,67.34760051880674,9252,6144,117825536.0,11782553.6
Fat Tree,89,117825536.0,67.35840899265024,9252,6144,117825536.0,11782553.6
Fat Tree,90,117825536.0,67.36921746649374,9252,6144,117825536.0,11782553.6
Fat Tree,91,117825536.0,67.38002594033723,9252,6144,117825536.0,11782553.6
Fat Tree,92,117825536.0,67.39083441418072,9252,6144,117825536.0,11782553.6
Fat Tree,93,117825536.0,67.40164288802421,9252,6144,117825536.0,11782553.6
Fat Tree,94,117825536.0,67.41245136186771,9252,6144,117825536.0,11782553.6
Fat Tree,95,117825536.0,67.4232598357112,9252,6144,117825536.0,11782553.6
Fat Tree,96,117825536.0,67.43406830955469,9252,6144,117825536.0,11782553.6
Fat Tree,97,117825536.0,67.44487678339819,9252,6144,117825536.0,11782553.6
Fat Tree,98,117825536.0,67.45568525724168,9252,6144,117825536.0,11782553.6
Fat Tree,99,117825536.0,67.46649373108518,9252,6144,117825536.0,11782553.6
Fat Tree,100,117825536.0,67.47730220492866,9252,6144,117825536.0,11782553.6
